Barcode	Donor	Tissue	celltype_sub	Sample	Histology	Tissue_sub
TL-plus-86-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-87-0222	D20170222	Tumor	CD4-C5-TCF7	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-88-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-89-0222	D20170222	Tumor	Lymphoid-B	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-90-0222	D20170222	Tumor	ILCs	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-9-0222	D20170222	Tumor	CD8-C2-MKI67	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-91-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-92-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-93-0222	D20170222	Tumor	CD8-C8-PDCD1	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-94-0222	D20170222	Tumor	CD4-C7-FOXP3	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-95-0222	D20170222	Tumor	Lymphoid-B	D20170222-Tumor-CD45+	HCC	TumorEdge
TL-plus-96-0222	D20170222	Tumor	CD4-C6-CXCL13	D20170222-Tumor-CD45+	HCC	TumorEdge
TNL-plus-2-0222	D20170222	Tumor	DC-C2-FCER1A	D20170222-Tumor-CD45+	HCC	TumorEdge
TNL-plus-3-0222	D20170222	Tumor	Mac-C2-C1QA	D20170222-Tumor-CD45+	HCC	TumorEdge
60101-801	D20170227	Blood	CD8-C4-CX3CR1	D20170227-Blood-CD45+	HCC	Blood
60109-802	D20170227	Blood	CD4-C3-ANXA1	D20170227-Blood-CD45+	HCC	Blood
601105-814	D20170227	Tumor	NK-C1-FCGR3A	D20170227-Tumor-CD45+	HCC	TumorEdge
601113-815	D20170227	Tumor	CD4-C5-TCF7	D20170227-Tumor-CD45+	HCC	TumorEdge
601121-816	D20170227	Tumor	CD8-C6-GZMK	D20170227-Tumor-CD45+	HCC	TumorEdge
601129-817	D20170227	Blood	CD4-C1-CCR7	D20170227-Blood-CD45+	HCC	Blood
601137-818	D20170227	Tumor	CD8-C6-GZMK	D20170227-Tumor-CD45+	HCC	TumorEdge
601145-819	D20170227	Blood	Lymphoid-B	D20170227-Blood-CD45+	HCC	Blood
601153-820	D20170227	Tumor	CD8-C6-GZMK	D20170227-Tumor-CD45+	HCC	TumorEdge
601161-821	D20170227	Tumor	CD8-C4-CX3CR1	D20170227-Tumor-CD45+	HCC	TumorEdge
601169-822	D20170227	Tumor	CD8-C6-GZMK	D20170227-Tumor-CD45+	HCC	TumorEdge
601177-823	D20170227	Tumor	CD8-C4-CX3CR1	D20170227-Tumor-CD45+	HCC	TumorEdge
60117-803	D20170227	Blood	NK-C1-FCGR3A	D20170227-Blood-CD45+	HCC	Blood
601185-824	D20170227	Tumor	NK-C7-CD160	D20170227-Tumor-CD45+	HCC	TumorEdge
60125-804	D20170227	Blood	Mac-C5-VCAN	D20170227-Blood-CD45+	HCC	Blood
60133-805	D20170227	Blood	Mono-C1-CD14	D20170227-Blood-CD45+	HCC	Blood
60149-807	D20170227	Tumor	NK-C7-CD160	D20170227-Tumor-CD45+	HCC	TumorEdge
60157-808	D20170227	Tumor	CD4-C3-ANXA1	D20170227-Tumor-CD45+	HCC	TumorEdge
60165-809	D20170227	Tumor	NK-C1-FCGR3A	D20170227-Tumor-CD45+	HCC	TumorEdge
60173-810	D20170227	Tumor	NK-C1-FCGR3A	D20170227-Tumor-CD45+	HCC	TumorEdge
60181-811	D20170227	Tumor	NK-C9-MKI67	D20170227-Tumor-CD45+	HCC	TumorEdge
60189-812	D20170227	Blood	CD4-C3-ANXA1	D20170227-Blood-CD45+	HCC	Blood
60197-813	D20170227	Tumor	CD8-C6-GZMK	D20170227-Tumor-CD45+	HCC	TumorEdge
60202-801	D20170227	Blood	CD8-C3-IL7R	D20170227-Blood-CD45+	HCC	Blood
602106-814	D20170227	Tumor	CD8-C6-GZMK	D20170227-Tumor-CD45+	HCC	TumorEdge
60210-802	D20170227	Blood	Lymphoid-B	D20170227-Blood-CD45+	HCC	Blood
602114-815	D20170227	Tumor	Mac-C5-VCAN	D20170227-Tumor-CD45+	HCC	TumorEdge
602122-816	D20170227	Blood	CD4-C1-CCR7	D20170227-Blood-CD45+	HCC	Blood
602130-817	D20170227	Blood	CD4-C3-ANXA1	D20170227-Blood-CD45+	HCC	Blood
602138-818	D20170227	Blood	CD8-C2-MKI67	D20170227-Blood-CD45+	HCC	Blood
602146-819	D20170227	Tumor	CD8-C7-KLRD1	D20170227-Tumor-CD45+	HCC	TumorEdge
602154-820	D20170227	Tumor	NK-C1-FCGR3A	D20170227-Tumor-CD45+	HCC	TumorEdge
602162-821	D20170227	Tumor	ILCs	D20170227-Tumor-CD45+	HCC	TumorEdge
602170-822	D20170227	Blood	Lymphoid-B	D20170227-Blood-CD45+	HCC	Blood
602178-823	D20170227	Blood	CD4-C3-ANXA1	D20170227-Blood-CD45+	HCC	Blood
602186-824	D20170227	Blood	NK-C1-FCGR3A	D20170227-Blood-CD45+	HCC	Blood
60218-803	D20170227	Blood	NK-C1-FCGR3A	D20170227-Blood-CD45+	HCC	Blood
60226-804	D20170227	Blood	Mono-C1-CD14	D20170227-Blood-CD45+	HCC	Blood
60234-805	D20170227	Blood	Mono-C1-CD14	D20170227-Blood-CD45+	HCC	Blood
60250-807	D20170227	Tumor	NK-C7-CD160	D20170227-Tumor-CD45+	HCC	TumorEdge
60258-808	D20170227	Tumor	NK-C1-FCGR3A	D20170227-Tumor-CD45+	HCC	TumorEdge
60266-809	D20170227	Tumor	CD8-C6-GZMK	D20170227-Tumor-CD45+	HCC	TumorEdge
60274-810	D20170227	Tumor	Lymphoid-B	D20170227-Tumor-CD45+	HCC	TumorEdge
